b2c_c2c,seller_id,declared_handling_days,acceptance_scan_timestamp,shipment_method_id,shipping_fee,carrier_min_estimate,carrier_max_estimate,item_zip,buyer_zip,category_id,item_price,quantity,payment_datetime,delivery_date,weight,weight_units,package_size,record_number
B2C,12924,1.0,2018-08-06 16:23:00.000-05:00,0,0.0,3,5,77035,45373,8,23.99,1,2018-08-06 13:04:18.000-05:00,2018-08-09,1,1,PACKAGE_THICK_ENVELOPE,13
C2C,487782,2.0,2018-12-08 18:17:00.000-08:00,0,0.0,3,5,91789,27317,11,15.88,1,2018-12-02 18:31:17.000-08:00,2018-12-12,0,1,PACKAGE_THICK_ENVELOPE,14
B2C,5815,0.0,2019-05-21 19:50:14.000-04:00,0,0.0,3,5,32605,33166,11,22.78,2,2019-05-20 18:23:31.000-04:00,2019-05-22,8,1,PACKAGE_THICK_ENVELOPE,15
B2C,17757,0.0,2019-04-15 16:39:00.000-04:00,0,0.0,3,5,04268,65459,13,29.99,1,2019-04-14 19:04:18.000-04:00,2019-04-19,0,1,LETTER,16
B2C,48312,1.0,2018-02-12 23:14:00.000-05:00,0,4.0,3,5,20743,95122,0,22.99,1,2018-02-10 19:37:32.000-05:00,2018-02-14,6,1,PACKAGE_THICK_ENVELOPE,17
B2C,2077,1.0,2018-07-18 14:57:00.000-05:00,1,0.0,2,5,77471,55420,5,65.0,1,2018-07-17 13:42:15.000-05:00,2018-07-20,0,1,NONE,18
B2C,1083,1.0,2018-12-17 18:17:00.000-07:00,5,0.0,2,5,83642,77488,1,129.99,1,2018-12-15 22:00:07.000-07:00,2018-12-20,6,1,PACKAGE_THICK_ENVELOPE,19
B2C,55903,2.0,2019-09-25 15:20:00.000-04:00,2,0.0,2,9,08215,15522,1,195.99,1,2019-09-25 10:52:54.000-04:00,2019-09-27,0,1,PACKAGE_THICK_ENVELOPE,20
C2C,166588,1.0,2018-03-26 21:03:00.000-07:00,0,0.0,3,5,95928,95973,10,1.29,1,2018-03-24 15:59:16.000-07:00,2018-03-27,0,1,PACKAGE_THICK_ENVELOPE,21
B2C,70189,3.0,2018-08-29 15:35:00.000-04:00,0,0.0,3,5,32119,83221,8,16.49,1,2018-08-27 01:00:48.000-04:00,2018-09-01,0,1,PACKAGE_THICK_ENVELOPE,22
B2C,10798,0.0,2018-05-08 14:03:00.000-07:00,0,0.0,3,5,92532,12508,8,7.29,1,2018-05-07 16:15:10.000-07:00,2018-05-11,0,1,PACKAGE_THICK_ENVELOPE,23
B2C,16000,3.0,2018-04-09 15:57:00.000-07:00,6,0.0,2,5,97240,80107,10,19.96,1,2018-04-05 17:08:25.000-07:00,2018-04-12,19,1,PACKAGE_THICK_ENVELOPE,24
B2C,16000,3.0,2018-04-14 18:14:00.000-07:00,6,2.75,2,5,97240,67147,10,19.96,1,2018-04-12 09:06:20.000-07:00,2018-04-16,19,1,PACKAGE_THICK_ENVELOPE,25
B2C,42220,1.0,2018-08-24 17:52:00.000-07:00,0,0.0,3,5,91732,76691,23,3.99,1,2018-08-23 22:21:22.000-07:00,2018-08-27,3,1,PACKAGE_THICK_ENVELOPE,26
B2C,42220,1.0,2019-04-08 16:01:00.000-07:00,0,0.0,3,5,91732,34956,23,4.29,1,2019-04-08 06:09:20.000-07:00,2019-04-10,3,1,PACKAGE_THICK_ENVELOPE,27
B2C,11968,1.0,2018-10-10 00:25:00.000-07:00,0,0.0,3,5,90210,91436,8,4.9,1,2018-10-05 14:13:34.000-07:00,2018-10-11,0,1,PACKAGE_THICK_ENVELOPE,28
B2C,18048,1.0,2018-06-23 11:02:00.000-05:00,0,1.42,3,5,54944,29401,23,41.5,1,2018-06-22 12:39:41.000-05:00,2018-06-25,6,1,PACKAGE_THICK_ENVELOPE,29
B2C,9034,1.0,2018-05-21 14:11:00.000-04:00,0,0.0,3,5,19363,53508,13,21.99,1,2018-05-20 23:14:01.000-04:00,2018-05-24,8,1,PACKAGE_THICK_ENVELOPE,30
B2C,21778,3.0,2019-01-07 09:22:00.000-05:00,0,0.0,3,5,34429,30277,9,9.99,1,2019-01-04 14:49:39.000-05:00,2019-01-11,4,1,PACKAGE_THICK_ENVELOPE,31
B2C,31601,1.0,2018-06-11 15:17:00.000-05:00,0,4.95,3,5,54558,04945,1,24.99,1,2018-06-10 15:41:47.000-05:00,2018-06-14,16,1,PACKAGE_THICK_ENVELOPE,32
B2C,267045,1.0,2019-10-17 03:43:00.000-04:00,0,0.0,3,5,14304,42134,7,6.99,1,2019-10-13 23:49:02.000-04:00,2019-10-19,0,1,PACKAGE_THICK_ENVELOPE,33
B2C,4414,1.0,2018-05-14 16:02:00.000-05:00,1,0.0,2,5,77093,32712,10,169.96,1,2018-05-13 13:58:59.000-05:00,2018-05-16,15,1,PACKAGE_THICK_ENVELOPE,34
B2C,2101,1.0,2019-01-03 13:20:00.000-06:00,0,3.5,3,5,51031,62656,13,21.2,1,2019-01-02 12:25:07.000-06:00,2019-01-05,3,1,PACKAGE_THICK_ENVELOPE,35
B2C,2101,1.0,2019-10-15 22:35:00.000-05:00,0,0.0,3,5,51031,45356,13,8.53,1,2019-10-14 17:37:53.000-05:00,2019-10-19,4,1,PACKAGE_THICK_ENVELOPE,36
B2C,7097,1.0,2019-05-29 17:02:00.000-04:00,0,0.0,3,5,28806,75482,10,9.85,1,2019-05-28 15:14:29.000-04:00,2019-06-01,2,1,PACKAGE_THICK_ENVELOPE,37
C2C,608594,1.0,2018-03-17 13:47:00.000-04:00,2,7.85,2,9,07452,90005,26,19.99,1,2018-03-16 15:43:20.000-04:00,2018-03-19,0,1,NONE,38
B2C,36271,10.0,2019-07-06 13:21:00.000-07:00,0,5.66,3,5,92585,33138,0,14.0,1,2019-07-03 12:56:52.000-07:00,2019-07-12,10,1,PACKAGE_THICK_ENVELOPE,39
B2C,2101,1.0,2019-03-29 14:29:00.000-05:00,0,0.0,3,5,51031,20882,13,9.58,1,2019-03-28 13:29:35.000-05:00,2019-04-01,5,1,PACKAGE_THICK_ENVELOPE,40
B2C,171,1.0,2018-07-19 16:15:00.000-04:00,1,2.69,2,5,28642,90037,10,3.99,1,2018-07-18 21:46:30.000-04:00,2018-07-21,0,1,PACKAGE_THICK_ENVELOPE,41
B2C,362647,2.0,2019-05-15 14:01:00.000-05:00,0,0.0,3,5,77057,22801,3,34.99,2,2019-05-13 22:36:25.000-05:00,2019-05-20,32,1,LARGE_PACKAGE,42
B2C,42037,1.0,2018-09-25 14:17:00.000-05:00,2,9.85,2,9,56071,76110,1,88.0,1,2018-09-25 11:50:13.000-05:00,2018-09-27,48,1,PACKAGE_THICK_ENVELOPE,43
B2C,5793,0.0,2019-03-08 16:44:00.000-05:00,0,0.0,3,5,46225,29575,17,13.25,1,2019-03-07 17:01:14.000-05:00,2019-03-11,5,1,PACKAGE_THICK_ENVELOPE,44
B2C,93702,1.0,2018-11-07 15:25:00.000-05:00,0,0.0,3,5,33009,41102,1,18.95,2,2018-11-06 23:12:58.000-05:00,2018-11-10,0,1,PACKAGE_THICK_ENVELOPE,45
B2C,43279,1.0,2018-04-06 11:30:00.000-04:00,1,0.0,2,5,12932,79703,6,19.98,2,2018-04-05 14:09:30.000-04:00,2018-04-09,0,1,PACKAGE_THICK_ENVELOPE,46
B2C,29882,1.0,2018-09-24 17:33:13.000-05:00,1,35.0,2,5,35213,29920,13,395.0,1,2018-09-24 12:10:48.000-05:00,2018-09-26,560,1,PACKAGE_THICK_ENVELOPE,47
B2C,1301,1.0,2019-01-22 22:45:00.000-08:00,0,0.0,3,5,92705,13439,11,13.5,1,2019-01-22 06:20:01.000-08:00,2019-01-26,0,1,PACKAGE_THICK_ENVELOPE,48
B2C,290,1.0,2018-05-12 17:21:00.000-05:00,0,2.61,3,5,60585,01472,10,3.39,1,2018-05-10 11:47:55.000-05:00,2018-05-15,3,1,PACKAGE_THICK_ENVELOPE,49
B2C,10357,1.0,2019-02-07 20:23:00.000-08:00,0,0.0,3,5,91745,33713,6,2.84,1,2019-02-07 11:31:41.000-08:00,2019-02-09,2,1,PACKAGE_THICK_ENVELOPE,50
B2C,10934,1.0,2019-07-02 17:58:00.000-04:00,0,4.39,3,5,07105,76537,10,15.99,1,2019-07-01 20:59:51.000-04:00,2019-07-05,3,1,PACKAGE_THICK_ENVELOPE,51
C2C,267600,10.0,2019-04-08 16:34:00.000-07:00,0,0.0,3,5,92372,18704,27,5.95,2,2019-03-25 17:37:01.000-07:00,2019-04-15,0,1,PACKAGE_THICK_ENVELOPE,52
B2C,55420,1.0,2019-02-14 15:26:00.000-08:00,0,5.49,3,5,333083517,85297,1,11.95,1,2019-02-12 18:40:21.000-08:00,2019-02-19,5,1,LETTER,53
B2C,31206,1.0,2019-04-23 15:04:00.000-04:00,1,10.4,2,5,32867,43528,1,40.0,1,2019-04-21 22:29:06.000-04:00,2019-04-26,32,1,PACKAGE_THICK_ENVELOPE,54
B2C,3368,1.0,2019-04-02 00:00:00.000-07:00,0,0.0,3,5,91745,49420,5,9.95,1,2019-04-01 18:50:25.000-07:00,2019-04-04,3,1,PACKAGE_THICK_ENVELOPE,55
C2C,856471,3.0,2018-07-09 15:27:00.000-05:00,0,3.95,3,5,55352,95815,17,6.0,1,2018-07-07 15:39:23.000-05:00,2018-07-12,16,1,PACKAGE_THICK_ENVELOPE,56
B2C,66217,2.0,2018-04-20 10:22:00.000-07:00,2,0.0,2,9,97415,12158,1,24.99,1,2018-04-18 16:05:11.000-07:00,2018-04-23,16,1,PACKAGE_THICK_ENVELOPE,57
C2C,304592,1.0,2018-04-03 14:27:00.000-04:00,1,14.95,2,5,14072,35215,3,68.99,1,2018-03-16 22:09:41.000-04:00,2018-04-05,0,1,PACKAGE_THICK_ENVELOPE,58
B2C,19120,3.0,2018-05-10 16:08:00.000-04:00,0,0.0,3,5,49601,48040,6,9.99,1,2018-05-07 16:50:03.000-04:00,2018-05-12,6,1,PACKAGE_THICK_ENVELOPE,59
B2C,14753,1.0,2019-06-24 14:03:00.000-04:00,0,0.0,3,5,01832,07936,7,27.0,1,2019-06-21 09:27:04.000-04:00,2019-06-26,0,1,LETTER,60
B2C,1301,1.0,2018-05-09 19:41:00.000-07:00,0,0.0,3,5,92705,91770,11,13.95,1,2018-05-08 21:44:43.000-07:00,2018-05-10,0,1,PACKAGE_THICK_ENVELOPE,61
B2C,1301,1.0,2018-08-09 20:08:00.000-07:00,0,0.0,3,5,92705,48616,11,13.95,1,2018-08-08 14:49:38.000-07:00,2018-08-13,0,1,PACKAGE_THICK_ENVELOPE,62
B2C,102689,2.0,2018-01-15 16:24:00.000-05:00,0,0.0,3,5,48098,54981,9,6.49,2,2018-01-14 10:29:50.000-05:00,2018-01-17,6,1,PACKAGE_THICK_ENVELOPE,63
B2C,66570,1.0,2018-02-23 19:10:00.000-08:00,1,0.0,2,5,91789,33166,1,15.91,1,2018-02-23 13:14:04.000-08:00,2018-02-26,64,1,PACKAGE_THICK_ENVELOPE,64
B2C,9450,1.0,2019-01-04 16:57:00.000-08:00,1,0.0,2,5,92867,42210,1,24.99,1,2019-01-02 12:43:44.000-08:00,2019-01-07,0,1,PACKAGE_THICK_ENVELOPE,65
B2C,1313,0.0,2018-03-05 16:47:00.000-05:00,0,3.51,3,5,19111,48730,23,2.49,1,2018-03-03 14:22:47.000-05:00,2018-03-07,1,1,PACKAGE_THICK_ENVELOPE,66
B2C,32257,0.0,2018-05-07 09:26:00.000-07:00,0,4.8,3,5,90503,59404,1,26.99,1,2018-05-04 13:02:24.000-07:00,2018-05-10,3,1,PACKAGE_THICK_ENVELOPE,67
B2C,3961,1.0,2018-08-09 17:28:00.000-04:00,1,10.0,2,5,49507,75158,1,24.99,1,2018-08-08 19:22:18.000-04:00,2018-08-11,32,1,PACKAGE_THICK_ENVELOPE,68
B2C,6151,1.0,2018-04-02 13:19:00.000-05:00,0,0.0,3,5,60007,11706,9,7.4,3,2018-03-31 21:38:46.000-05:00,2018-04-05,12,1,PACKAGE_THICK_ENVELOPE,69
B2C,290,1.0,2019-09-12 09:07:00.000-05:00,0,4.53,3,5,60585,78734,10,29.25,1,2019-09-09 17:28:35.000-05:00,2019-09-16,6,1,PACKAGE_THICK_ENVELOPE,70
B2C,5726,1.0,2019-02-07 15:56:00.000-05:00,1,0.0,2,5,12863,06492,1,31.88,1,2019-02-06 21:43:46.000-05:00,2019-02-08,0,1,PACKAGE_THICK_ENVELOPE,71
B2C,11890,0.0,2019-06-04 17:11:00.000-07:00,0,0.0,3,5,97224,84025,17,1.7,1,2019-06-04 10:19:11.000-07:00,2019-06-07,2,1,PACKAGE_THICK_ENVELOPE,72
C2C,86755,5.0,2018-09-26 16:34:00.000-04:00,0,2.75,3,5,06424,82941,17,3.99,1,2018-09-10 15:26:40.000-04:00,2018-09-29,0,1,NONE,73
B2C,188616,1.0,2018-12-24 16:07:00.000-06:00,8,6.0,2,5,55433,49660,1,65.0,1,2018-12-23 12:15:31.000-06:00,2018-12-27,0,1,PACKAGE_THICK_ENVELOPE,74
B2C,21902,1.0,2019-09-16 11:06:00.000-04:00,0,0.0,3,5,49461,30566,11,18.99,1,2019-09-14 20:05:07.000-04:00,2019-09-19,6,1,PACKAGE_THICK_ENVELOPE,75
B2C,187,1.0,2018-02-13 17:16:00.000-06:00,0,0.6,3,5,32561,94536,10,2.68,1,2018-02-12 23:11:37.000-06:00,2018-02-15,1,1,PACKAGE_THICK_ENVELOPE,76
B2C,8902,1.0,2019-09-19 13:24:00.000-04:00,0,0.0,3,5,28018,76230,1,32.94,1,2019-09-19 01:41:53.000-04:00,2019-09-21,7,1,PACKAGE_THICK_ENVELOPE,77
B2C,2442,1.0,2018-11-21 16:47:00.000-06:00,0,0.0,3,5,63084,74401,24,7.77,1,2018-11-21 00:57:45.000-06:00,2018-11-23,0,1,PACKAGE_THICK_ENVELOPE,78
B2C,1288,2.0,2019-02-28 17:50:00.000-05:00,5,0.0,2,5,31525,73069,9,21.12,1,2019-02-26 19:56:21.000-05:00,2019-03-02,0,1,PACKAGE_THICK_ENVELOPE,79
B2C,187,1.0,2019-09-17 12:03:00.000-05:00,0,0.0,3,5,32561,60178,13,3.97,1,2019-09-16 15:47:58.000-05:00,2019-09-20,1,1,PACKAGE_THICK_ENVELOPE,80
B2C,17124,1.0,2018-01-03 14:11:00.000-05:00,0,4.35,3,5,12047,34433,9,3.63,2,2018-01-02 18:24:59.000-05:00,2018-01-08,7,1,PACKAGE_THICK_ENVELOPE,81
B2C,21778,1.0,2018-06-25 16:10:00.000-04:00,0,0.0,3,5,34429,34983,1,8.79,1,2018-06-24 19:46:54.000-04:00,2018-06-27,4,1,PACKAGE_THICK_ENVELOPE,82
B2C,19862,1.0,2018-03-21 15:09:00.000-04:00,0,0.0,3,5,33412,70602,0,2.55,1,2018-03-20 11:22:27.000-04:00,2018-03-26,1,1,PACKAGE_THICK_ENVELOPE,83
B2C,692,0.0,2018-07-05 12:38:00.000-04:00,0,0.0,3,5,01863,90631,4,5.99,1,2018-07-05 02:14:32.000-04:00,2018-07-09,0,1,PACKAGE_THICK_ENVELOPE,84
B2C,41154,1.0,2019-01-23 15:50:00.000-06:00,0,0.0,3,5,39705,75215,9,6.99,1,2019-01-20 18:46:59.000-06:00,2019-01-25,7,1,PACKAGE_THICK_ENVELOPE,85
B2C,2101,1.0,2018-08-01 14:48:00.000-05:00,0,0.0,3,5,51031,01430,13,10.35,1,2018-07-31 18:45:12.000-05:00,2018-08-03,3,1,PACKAGE_THICK_ENVELOPE,86
B2C,19862,1.0,2019-05-02 15:37:00.000-04:00,0,0.0,3,5,33412,44720,0,29.99,1,2019-05-01 18:41:21.000-04:00,2019-05-04,7,1,PACKAGE_THICK_ENVELOPE,87
B2C,33489,1.0,2018-09-04 16:36:00.000-05:00,2,0.0,2,9,75103,14620,10,15.99,1,2018-08-31 17:09:36.000-05:00,2018-09-08,39,1,PACKAGE_THICK_ENVELOPE,88
B2C,84752,1.0,2019-02-15 14:48:00.000-07:00,0,0.0,3,5,85350,76106,2,21.0,1,2019-02-15 06:35:57.000-07:00,2019-02-19,0,1,PACKAGE_THICK_ENVELOPE,89
B2C,206,0.0,2019-06-19 17:33:00.000-07:00,0,0.0,3,5,93308,19153,1,12.6,1,2019-06-18 17:58:56.000-07:00,2019-06-21,16,1,PACKAGE_THICK_ENVELOPE,90
B2C,8524,3.0,2018-06-18 23:01:00.000-04:00,10,3.99,2,5,21842,75751,0,29.0,1,2018-06-15 18:13:23.000-04:00,2018-06-20,27,1,PACKAGE_THICK_ENVELOPE,91
C2C,173719,1.0,2019-06-11 15:34:00.000-05:00,0,6.0,3,5,74044,83805,17,15.0,1,2019-06-10 08:41:33.000-05:00,2019-06-13,16,1,PACKAGE_THICK_ENVELOPE,92
B2C,1083,1.0,2018-07-25 11:24:00.000-06:00,0,0.0,3,5,83642,45036,1,38.99,1,2018-07-24 06:30:02.000-06:00,2018-07-30,6,1,PACKAGE_THICK_ENVELOPE,93
B2C,4749,0.0,2019-08-12 14:10:00.000-06:00,0,0.0,3,5,84093,46614,17,7.5,1,2019-08-12 05:20:42.000-06:00,2019-08-16,48,1,PACKAGE_THICK_ENVELOPE,94
B2C,4749,0.0,2019-10-18 14:14:00.000-06:00,0,0.0,3,5,84093,21224,17,7.5,1,2019-10-17 13:14:18.000-06:00,2019-10-21,48,1,PACKAGE_THICK_ENVELOPE,95
B2C,4749,0.0,2019-10-23 12:51:00.000-06:00,0,0.0,3,5,84093,92154,17,7.5,1,2019-10-22 13:19:46.000-06:00,2019-10-26,48,1,PACKAGE_THICK_ENVELOPE,96
B2C,3137,1.0,2018-07-16 17:07:00.000-07:00,0,0.0,3,5,92807,38242,12,8.49,1,2018-07-15 19:00:23.000-07:00,2018-07-20,2,1,PACKAGE_THICK_ENVELOPE,97
B2C,3137,1.0,2018-09-19 16:56:00.000-07:00,0,0.0,3,5,92807,59901,12,8.49,1,2018-09-18 20:25:25.000-07:00,2018-09-22,2,1,PACKAGE_THICK_ENVELOPE,98
B2C,7482,1.0,2019-03-04 15:30:00.000-05:00,1,0.0,2,5,49548,94507,13,50.59,1,2019-03-04 15:08:20.000-05:00,2019-03-06,36,1,PACKAGE_THICK_ENVELOPE,99
B2C,36271,10.0,2018-08-21 14:25:00.000-07:00,0,4.5,3,5,92585,68106,0,14.0,1,2018-08-18 12:26:19.000-07:00,2018-08-23,10,1,PACKAGE_THICK_ENVELOPE,100
B2C,206,1.0,2018-04-03 16:44:00.000-07:00,0,0.0,3,5,93312,98273,12,7.44,1,2018-04-02 03:59:15.000-07:00,2018-04-06,6,1,PACKAGE_THICK_ENVELOPE,101
C2C,191794,3.0,2018-02-12 16:38:00.000-05:00,0,3.99,3,5,28806,64152,9,12.99,1,2018-02-05 16:33:18.000-05:00,2018-02-14,0,1,NONE,102
B2C,1288,1.0,2018-03-12 17:13:00.000-04:00,7,0.0,2,5,31525,60022,9,61.94,1,2018-03-10 08:35:56.000-05:00,2018-03-15,0,1,PACKAGE_THICK_ENVELOPE,103
B2C,45854,1.0,2019-06-04 00:33:00.000-04:00,0,0.0,3,5,28202,77015,13,28.95,1,2019-06-01 12:08:22.000-04:00,2019-06-06,16,1,PACKAGE_THICK_ENVELOPE,104
B2C,29882,1.0,2018-05-07 21:25:00.000-05:00,1,7.5,2,5,35217,67002,13,40.0,1,2018-05-06 18:08:45.000-05:00,2018-05-09,0,1,PACKAGE_THICK_ENVELOPE,105
B2C,63314,1.0,2018-01-22 23:33:00.000-05:00,7,0.0,2,5,33187,90640,6,36.89,1,2018-01-20 18:23:02.000-05:00,2018-01-24,0,1,LETTER,106
B2C,972,1.0,2018-03-03 21:07:00.000-06:00,0,2.95,3,5,75115,40330,0,5.95,1,2018-03-02 16:57:16.000-06:00,2018-03-05,8,1,PACKAGE_THICK_ENVELOPE,107
B2C,972,1.0,2018-03-31 21:08:00.000-05:00,0,2.95,3,5,75115,23805,0,6.95,1,2018-03-30 16:27:43.000-05:00,2018-04-03,8,1,PACKAGE_THICK_ENVELOPE,108
B2C,972,1.0,2018-10-26 17:07:00.000-05:00,0,2.95,3,5,75115,17401,0,6.95,1,2018-10-26 04:03:01.000-05:00,2018-10-29,8,1,PACKAGE_THICK_ENVELOPE,109
B2C,14192,1.0,2018-10-30 17:01:00.000-04:00,0,4.5,3,5,06457,18972,10,7.95,1,2018-10-25 21:20:30.000-04:00,2018-11-01,5,1,PACKAGE_THICK_ENVELOPE,110
B2C,48941,1.0,2018-01-27 16:28:00.000-07:00,2,8.15,2,9,80514,94062,11,14.99,2,2018-01-25 15:09:34.000-07:00,2018-01-29,15,1,PACKAGE_THICK_ENVELOPE,111
B2C,1369,,2018-01-19 12:20:00.000-05:00,0,0.0,3,5,32703,32042,5,5.8,1,2018-01-18 20:50:28.000-05:00,2018-01-26,3,1,PACKAGE_THICK_ENVELOPE,112
B2C,657,1.0,2019-02-11 15:45:00.000-07:00,0,2.99,3,5,84341,84049,0,42.49,1,2019-02-09 15:01:17.000-07:00,2019-02-12,0,1,PACKAGE_THICK_ENVELOPE,113
B2C,32257,1.0,2019-03-04 18:14:19.000-08:00,1,10.95,2,5,90503,88021,1,69.95,1,2019-03-01 16:59:52.000-08:00,2019-03-07,32,1,PACKAGE_THICK_ENVELOPE,114
B2C,2442,1.0,2019-01-03 16:24:00.000-06:00,0,0.0,3,5,63084,75154,24,8.97,1,2019-01-03 10:11:03.000-06:00,2019-01-07,0,1,PACKAGE_THICK_ENVELOPE,115
B2C,6151,1.0,2018-02-22 12:49:00.000-06:00,1,0.0,2,5,60007,45014,9,9.75,1,2018-02-21 13:31:00.000-06:00,2018-02-26,32,1,PACKAGE_THICK_ENVELOPE,116
B2C,6151,1.0,2018-02-22 12:49:00.000-06:00,1,0.0,2,5,60007,33904,9,9.75,1,2018-02-21 17:01:13.000-06:00,2018-02-26,32,1,PACKAGE_THICK_ENVELOPE,117
B2C,6151,1.0,2018-03-27 15:12:00.000-05:00,1,0.0,2,5,60007,73433,9,9.95,1,2018-03-26 17:59:13.000-05:00,2018-03-29,32,1,PACKAGE_THICK_ENVELOPE,118
B2C,6151,1.0,2018-06-11 10:16:00.000-05:00,1,0.0,2,5,60007,48044,9,9.95,1,2018-06-09 16:09:27.000-05:00,2018-06-14,32,1,PACKAGE_THICK_ENVELOPE,119
B2C,206,1.0,2018-05-23 16:18:00.000-07:00,0,0.0,3,5,93308,75044,12,15.98,1,2018-05-22 18:46:45.000-07:00,2018-05-26,8,1,PACKAGE_THICK_ENVELOPE,120
B2C,627,1.0,2018-08-29 23:15:00.000-07:00,4,0.0,2,9,95035,11374,1,5.61,1,2018-08-29 19:24:32.000-07:00,2018-09-05,0,1,NONE,121
B2C,2448,1.0,2018-03-28 18:31:00.000-07:00,1,0.0,2,5,91746,28146,11,22.98,1,2018-03-28 06:40:21.000-07:00,2018-03-30,32,1,PACKAGE_THICK_ENVELOPE,122
B2C,2448,1.0,2018-08-07 19:38:00.000-07:00,1,0.0,2,5,91746,95128,11,17.99,1,2018-08-06 15:13:21.000-07:00,2018-08-09,32,1,PACKAGE_THICK_ENVELOPE,123
B2C,108487,1.0,2018-11-19 10:11:00.000-05:00,0,0.0,3,5,33196,92506,1,9.99,1,2018-11-17 21:50:24.000-05:00,2018-11-24,1,1,PACKAGE_THICK_ENVELOPE,124
B2C,1668,0.0,2018-09-07 19:15:13.000-04:00,2,0.0,2,9,11729,39206,12,84.75,1,2018-09-07 13:43:09.000-04:00,2018-09-12,6,1,PACKAGE_THICK_ENVELOPE,125
B2C,103556,1.0,2018-03-05 23:20:00.000-05:00,3,0.0,2,8,30122,98087,14,5.25,1,2018-03-05 00:54:09.000-05:00,2018-03-08,7,1,PACKAGE_THICK_ENVELOPE,126
B2C,627,1.0,2018-05-28 06:20:00.000-07:00,4,0.0,2,9,95035,91711,1,6.68,1,2018-05-28 02:41:46.000-07:00,2018-05-31,1,1,PACKAGE_THICK_ENVELOPE,127
B2C,2297,1.0,2018-10-18 17:37:00.000-05:00,1,0.0,2,5,78754,08901,11,5.5,1,2018-10-18 10:50:26.000-05:00,2018-10-20,0,1,PACKAGE_THICK_ENVELOPE,128
B2C,5328,1.0,2018-07-02 13:08:00.000-07:00,0,0.0,3,5,91344,77445,6,12.49,1,2018-07-01 12:46:39.000-07:00,2018-07-05,2,1,PACKAGE_THICK_ENVELOPE,129
B2C,77129,1.0,2018-08-02 19:23:00.000-04:00,0,0.0,3,5,02536,90703,1,52.95,1,2018-08-02 09:06:49.000-04:00,2018-08-04,0,1,PACKAGE_THICK_ENVELOPE,130
B2C,38919,1.0,2018-09-24 16:56:00.000-07:00,0,3.99,3,5,92543,40370,0,8.99,1,2018-09-23 12:51:24.000-07:00,2018-09-27,0,1,PACKAGE_THICK_ENVELOPE,131
B2C,1213,1.0,2019-01-24 13:54:00.000-08:00,1,0.0,2,5,94014,13208,0,8.49,1,2019-01-23 12:42:07.000-08:00,2019-01-26,0,1,PACKAGE_THICK_ENVELOPE,132
