b2c_c2c,seller_id,acceptance_scan_timestamp,shipment_method_id,shipping_fee,carrier_min_estimate,carrier_max_estimate,category_id,item_price,quantity,payment_datetime,delivery_date,package_size,buyer_state,item_state,delivery_time_buss_days,acceptance_scan_timestamp seconds,payment_datetime seconds,delivery_date seconds,new_weight,new_declared_handling_days
B2C,16000,2018-04-15 01:14:00+00:00,6,2.75,2,5,10,19.96,1,2018-04-12 16:06:20+00:00,2018-04-16 00:00:00+00:00,PACKAGE_THICK_ENVELOPE,KS,OR,2,1523754840,1523549180,1523836800,19,3
B2C,42220,2018-08-25 00:52:00+00:00,0,0.0,3,5,23,3.99,1,2018-08-24 05:21:22+00:00,2018-08-27 00:00:00+00:00,PACKAGE_THICK_ENVELOPE,TX,CA,2,1535158320,1535088082,1535328000,3,1
B2C,42220,2019-04-08 23:01:00+00:00,0,0.0,3,5,23,4.29,1,2019-04-08 13:09:20+00:00,2019-04-10 00:00:00+00:00,PACKAGE_THICK_ENVELOPE,FL,CA,2,1554764460,1554728960,1554854400,3,1
B2C,11968,2018-10-10 07:25:00+00:00,0,0.0,3,5,8,4.9,1,2018-10-05 21:13:34+00:00,2018-10-11 00:00:00+00:00,PACKAGE_THICK_ENVELOPE,CA,CA,3,1539156300,1538774014,1539216000,8,1
B2C,18048,2018-06-23 16:02:00+00:00,0,1.42,3,5,23,41.5,1,2018-06-22 17:39:41+00:00,2018-06-25 00:00:00+00:00,PACKAGE_THICK_ENVELOPE,SC,WI,1,1529769720,1529689181,1529884800,6,1
B2C,9034,2018-05-21 18:11:00+00:00,0,0.0,3,5,13,21.99,1,2018-05-21 03:14:01+00:00,2018-05-24 00:00:00+00:00,PACKAGE_THICK_ENVELOPE,WI,PA,3,1526926260,1526872441,1527120000,8,1
B2C,21778,2019-01-07 14:22:00+00:00,0,0.0,3,5,9,9.99,1,2019-01-04 19:49:39+00:00,2019-01-11 00:00:00+00:00,PACKAGE_THICK_ENVELOPE,GA,FL,5,1546870920,1546631379,1547164800,4,3
B2C,31601,2018-06-11 20:17:00+00:00,0,4.95,3,5,1,24.99,1,2018-06-10 20:41:47+00:00,2018-06-14 00:00:00+00:00,PACKAGE_THICK_ENVELOPE,ME,WI,3,1528748220,1528663307,1528934400,16,1
B2C,267045,2019-10-17 07:43:00+00:00,0,0.0,3,5,7,6.99,1,2019-10-14 03:49:02+00:00,2019-10-19 00:00:00+00:00,PACKAGE_THICK_ENVELOPE,KY,NY,4,1571298180,1571024942,1571443200,8,1
B2C,4414,2018-05-14 21:02:00+00:00,1,0.0,2,5,10,169.96,1,2018-05-13 18:58:59+00:00,2018-05-16 00:00:00+00:00,PACKAGE_THICK_ENVELOPE,FL,TX,2,1526331720,1526237939,1526428800,15,1
B2C,2101,2019-01-03 19:20:00+00:00,0,3.5,3,5,13,21.2,1,2019-01-02 18:25:07+00:00,2019-01-05 00:00:00+00:00,PACKAGE_THICK_ENVELOPE,IL,IA,3,1546543200,1546453507,1546646400,3,1
B2C,2101,2019-10-16 03:35:00+00:00,0,0.0,3,5,13,8.53,1,2019-10-14 22:37:53+00:00,2019-10-19 00:00:00+00:00,PACKAGE_THICK_ENVELOPE,OH,IA,4,1571196900,1571092673,1571443200,4,1
B2C,7097,2019-05-29 21:02:00+00:00,0,0.0,3,5,10,9.85,1,2019-05-28 19:14:29+00:00,2019-06-01 00:00:00+00:00,PACKAGE_THICK_ENVELOPE,TX,NC,4,1559163720,1559070869,1559347200,2,1
C2C,608594,2018-03-17 17:47:00+00:00,2,7.85,2,9,26,19.99,1,2018-03-16 19:43:20+00:00,2018-03-19 00:00:00+00:00,NONE,CA,NJ,1,1521308820,1521229400,1521417600,8,1
B2C,36271,2019-07-06 20:21:00+00:00,0,5.66,3,5,0,14.0,1,2019-07-03 19:56:52+00:00,2019-07-12 00:00:00+00:00,PACKAGE_THICK_ENVELOPE,FL,CA,6,1562444460,1562183812,1562889600,10,10
B2C,2101,2019-03-29 19:29:00+00:00,0,0.0,3,5,13,9.58,1,2019-03-28 18:29:35+00:00,2019-04-01 00:00:00+00:00,PACKAGE_THICK_ENVELOPE,MD,IA,2,1553887740,1553797775,1554076800,5,1
B2C,171,2018-07-19 20:15:00+00:00,1,2.69,2,5,10,3.99,1,2018-07-19 01:46:30+00:00,2018-07-21 00:00:00+00:00,PACKAGE_THICK_ENVELOPE,CA,NC,3,1532031300,1531964790,1532131200,8,1
B2C,362647,2019-05-15 19:01:00+00:00,0,0.0,3,5,3,34.99,2,2019-05-14 03:36:25+00:00,2019-05-20 00:00:00+00:00,LARGE_PACKAGE,VA,TX,5,1557946860,1557804985,1558310400,32,2
B2C,42037,2018-09-25 19:17:00+00:00,2,9.85,2,9,1,88.0,1,2018-09-25 16:50:13+00:00,2018-09-27 00:00:00+00:00,PACKAGE_THICK_ENVELOPE,TX,MN,2,1537903020,1537894213,1538006400,48,1
B2C,5793,2019-03-08 21:44:00+00:00,0,0.0,3,5,17,13.25,1,2019-03-07 22:01:14+00:00,2019-03-11 00:00:00+00:00,PACKAGE_THICK_ENVELOPE,SC,IN,2,1552081440,1551996074,1552262400,5,0
B2C,93702,2018-11-07 20:25:00+00:00,0,0.0,3,5,1,18.95,2,2018-11-07 04:12:58+00:00,2018-11-10 00:00:00+00:00,PACKAGE_THICK_ENVELOPE,KY,FL,4,1541622300,1541563978,1541808000,8,1
B2C,43279,2018-04-06 15:30:00+00:00,1,0.0,2,5,6,19.98,2,2018-04-05 18:09:30+00:00,2018-04-09 00:00:00+00:00,PACKAGE_THICK_ENVELOPE,TX,NY,2,1523028600,1522951770,1523232000,8,1
B2C,29882,2018-09-24 22:33:13+00:00,1,35.0,2,5,13,395.0,1,2018-09-24 17:10:48+00:00,2018-09-26 00:00:00+00:00,PACKAGE_THICK_ENVELOPE,SC,AL,2,1537828393,1537809048,1537920000,560,1
B2C,1301,2019-01-23 06:45:00+00:00,0,0.0,3,5,11,13.5,1,2019-01-22 14:20:01+00:00,2019-01-26 00:00:00+00:00,PACKAGE_THICK_ENVELOPE,NY,CA,4,1548225900,1548166801,1548460800,8,1
B2C,290,2018-05-12 22:21:00+00:00,0,2.61,3,5,10,3.39,1,2018-05-10 16:47:55+00:00,2018-05-15 00:00:00+00:00,PACKAGE_THICK_ENVELOPE,MA,IL,3,1526163660,1525970875,1526342400,3,1
B2C,10357,2019-02-08 04:23:00+00:00,0,0.0,3,5,6,2.84,1,2019-02-07 19:31:41+00:00,2019-02-09 00:00:00+00:00,PACKAGE_THICK_ENVELOPE,FL,CA,2,1549599780,1549567901,1549670400,2,1
B2C,10934,2019-07-02 21:58:00+00:00,0,4.39,3,5,10,15.99,1,2019-07-02 00:59:51+00:00,2019-07-05 00:00:00+00:00,PACKAGE_THICK_ENVELOPE,TX,NJ,3,1562104680,1562029191,1562284800,3,1
C2C,267600,2019-04-08 23:34:00+00:00,0,0.0,3,5,27,5.95,2,2019-03-26 00:37:01+00:00,2019-04-15 00:00:00+00:00,PACKAGE_THICK_ENVELOPE,PA,CA,15,1554766440,1553560621,1555286400,8,10
B2C,55420,2019-02-14 23:26:00+00:00,0,5.49,3,5,1,11.95,1,2019-02-13 02:40:21+00:00,2019-02-19 00:00:00+00:00,LETTER,AZ,-1,4,1550186760,1550025621,1550534400,5,1
B2C,31206,2019-04-23 19:04:00+00:00,1,10.4,2,5,1,40.0,1,2019-04-22 02:29:06+00:00,2019-04-26 00:00:00+00:00,PACKAGE_THICK_ENVELOPE,OH,FL,4,1556046240,1555900146,1556236800,32,1
B2C,3368,2019-04-02 07:00:00+00:00,0,0.0,3,5,5,9.95,1,2019-04-02 01:50:25+00:00,2019-04-04 00:00:00+00:00,PACKAGE_THICK_ENVELOPE,MI,CA,3,1554188400,1554169825,1554336000,3,1
C2C,856471,2018-07-09 20:27:00+00:00,0,3.95,3,5,17,6.0,1,2018-07-07 20:39:23+00:00,2018-07-12 00:00:00+00:00,PACKAGE_THICK_ENVELOPE,CA,MN,3,1531168020,1530995963,1531353600,16,3
B2C,66217,2018-04-20 17:22:00+00:00,2,0.0,2,9,1,24.99,1,2018-04-18 23:05:11+00:00,2018-04-23 00:00:00+00:00,PACKAGE_THICK_ENVELOPE,NY,OR,3,1524244920,1524092711,1524441600,16,2
C2C,304592,2018-04-03 18:27:00+00:00,1,14.95,2,5,3,68.99,1,2018-03-17 02:09:41+00:00,2018-04-05 00:00:00+00:00,PACKAGE_THICK_ENVELOPE,AL,NY,14,1522780020,1521252581,1522886400,8,1
B2C,19120,2018-05-10 20:08:00+00:00,0,0.0,3,5,6,9.99,1,2018-05-07 20:50:03+00:00,2018-05-12 00:00:00+00:00,PACKAGE_THICK_ENVELOPE,MI,MI,5,1525982880,1525726203,1526083200,6,3
B2C,14753,2019-06-24 18:03:00+00:00,0,0.0,3,5,7,27.0,1,2019-06-21 13:27:04+00:00,2019-06-26 00:00:00+00:00,LETTER,NJ,MA,3,1561399380,1561123624,1561507200,8,1
B2C,1301,2018-05-10 02:41:00+00:00,0,0.0,3,5,11,13.95,1,2018-05-09 04:44:43+00:00,2018-05-10 00:00:00+00:00,PACKAGE_THICK_ENVELOPE,CA,CA,2,1525920060,1525841083,1525910400,8,1
B2C,1301,2018-08-10 03:08:00+00:00,0,0.0,3,5,11,13.95,1,2018-08-08 21:49:38+00:00,2018-08-13 00:00:00+00:00,PACKAGE_THICK_ENVELOPE,MI,CA,3,1533870480,1533764978,1534118400,8,1
B2C,102689,2018-01-15 21:24:00+00:00,0,0.0,3,5,9,6.49,2,2018-01-14 15:29:50+00:00,2018-01-17 00:00:00+00:00,PACKAGE_THICK_ENVELOPE,WI,MI,1,1516051440,1515943790,1516147200,6,2
B2C,66570,2018-02-24 03:10:00+00:00,1,0.0,2,5,1,15.91,1,2018-02-23 21:14:04+00:00,2018-02-26 00:00:00+00:00,PACKAGE_THICK_ENVELOPE,FL,CA,1,1519441800,1519420444,1519603200,64,1
B2C,9450,2019-01-05 00:57:00+00:00,1,0.0,2,5,1,24.99,1,2019-01-02 20:43:44+00:00,2019-01-07 00:00:00+00:00,PACKAGE_THICK_ENVELOPE,KY,CA,3,1546649820,1546461824,1546819200,8,1
B2C,1313,2018-03-05 21:47:00+00:00,0,3.51,3,5,23,2.49,1,2018-03-03 19:22:47+00:00,2018-03-07 00:00:00+00:00,PACKAGE_THICK_ENVELOPE,MI,PA,2,1520286420,1520104967,1520380800,1,0
B2C,32257,2018-05-07 16:26:00+00:00,0,4.8,3,5,1,26.99,1,2018-05-04 20:02:24+00:00,2018-05-10 00:00:00+00:00,PACKAGE_THICK_ENVELOPE,MT,CA,4,1525710360,1525464144,1525910400,3,0
B2C,3961,2018-08-09 21:28:00+00:00,1,10.0,2,5,1,24.99,1,2018-08-08 23:22:18+00:00,2018-08-11 00:00:00+00:00,PACKAGE_THICK_ENVELOPE,TX,MI,3,1533850080,1533770538,1533945600,32,1
B2C,6151,2018-04-02 18:19:00+00:00,0,0.0,3,5,9,7.4,3,2018-04-01 02:38:46+00:00,2018-04-05 00:00:00+00:00,PACKAGE_THICK_ENVELOPE,NY,IL,3,1522693140,1522550326,1522886400,12,1
B2C,290,2019-09-12 14:07:00+00:00,0,4.53,3,5,10,29.25,1,2019-09-09 22:28:35+00:00,2019-09-16 00:00:00+00:00,PACKAGE_THICK_ENVELOPE,TX,IL,5,1568297220,1568068115,1568592000,6,1
B2C,5726,2019-02-07 20:56:00+00:00,1,0.0,2,5,1,31.88,1,2019-02-07 02:43:46+00:00,2019-02-08 00:00:00+00:00,PACKAGE_THICK_ENVELOPE,CT,NY,2,1549572960,1549507426,1549584000,8,1
B2C,11890,2019-06-05 00:11:00+00:00,0,0.0,3,5,17,1.7,1,2019-06-04 17:19:11+00:00,2019-06-07 00:00:00+00:00,PACKAGE_THICK_ENVELOPE,UT,OR,3,1559693460,1559668751,1559865600,2,0
C2C,86755,2018-09-26 20:34:00+00:00,0,2.75,3,5,17,3.99,1,2018-09-10 19:26:40+00:00,2018-09-29 00:00:00+00:00,NONE,WY,CT,15,1537994040,1536607600,1538179200,8,5
B2C,188616,2018-12-24 22:07:00+00:00,8,6.0,2,5,1,65.0,1,2018-12-23 18:15:31+00:00,2018-12-27 00:00:00+00:00,PACKAGE_THICK_ENVELOPE,MI,MN,2,1545689220,1545588931,1545868800,8,1
B2C,21902,2019-09-16 15:06:00+00:00,0,0.0,3,5,11,18.99,1,2019-09-15 00:05:07+00:00,2019-09-19 00:00:00+00:00,PACKAGE_THICK_ENVELOPE,GA,MI,3,1568646360,1568505907,1568851200,6,1
B2C,187,2018-02-13 23:16:00+00:00,0,0.6,3,5,10,2.68,1,2018-02-13 05:11:37+00:00,2018-02-15 00:00:00+00:00,PACKAGE_THICK_ENVELOPE,CA,FL,3,1518563760,1518498697,1518652800,1,1
B2C,8902,2019-09-19 17:24:00+00:00,0,0.0,3,5,1,32.94,1,2019-09-19 05:41:53+00:00,2019-09-21 00:00:00+00:00,PACKAGE_THICK_ENVELOPE,TX,NC,2,1568913840,1568871713,1569024000,7,1
B2C,2442,2018-11-21 22:47:00+00:00,0,0.0,3,5,24,7.77,1,2018-11-21 06:57:45+00:00,2018-11-23 00:00:00+00:00,PACKAGE_THICK_ENVELOPE,OK,MO,1,1542840420,1542783465,1542931200,8,1
B2C,1288,2019-02-28 22:50:00+00:00,5,0.0,2,5,9,21.12,1,2019-02-27 00:56:21+00:00,2019-03-02 00:00:00+00:00,PACKAGE_THICK_ENVELOPE,OK,GA,4,1551394200,1551228981,1551484800,8,2
B2C,187,2019-09-17 17:03:00+00:00,0,0.0,3,5,13,3.97,1,2019-09-16 20:47:58+00:00,2019-09-20 00:00:00+00:00,PACKAGE_THICK_ENVELOPE,IL,FL,4,1568739780,1568666878,1568937600,1,1
B2C,17124,2018-01-03 19:11:00+00:00,0,4.35,3,5,9,3.63,2,2018-01-02 23:24:59+00:00,2018-01-08 00:00:00+00:00,PACKAGE_THICK_ENVELOPE,FL,NY,4,1515006660,1514935499,1515369600,7,1
B2C,21778,2018-06-25 20:10:00+00:00,0,0.0,3,5,1,8.79,1,2018-06-24 23:46:54+00:00,2018-06-27 00:00:00+00:00,PACKAGE_THICK_ENVELOPE,FL,FL,2,1529957400,1529884014,1530057600,4,1
B2C,19862,2018-03-21 19:09:00+00:00,0,0.0,3,5,0,2.55,1,2018-03-20 15:22:27+00:00,2018-03-26 00:00:00+00:00,PACKAGE_THICK_ENVELOPE,LA,FL,4,1521659340,1521559347,1522022400,1,1
B2C,692,2018-07-05 16:38:00+00:00,0,0.0,3,5,4,5.99,1,2018-07-05 06:14:32+00:00,2018-07-09 00:00:00+00:00,PACKAGE_THICK_ENVELOPE,CA,MA,2,1530808680,1530771272,1531094400,8,0
B2C,41154,2019-01-23 21:50:00+00:00,0,0.0,3,5,9,6.99,1,2019-01-21 00:46:59+00:00,2019-01-25 00:00:00+00:00,PACKAGE_THICK_ENVELOPE,TX,MS,3,1548280200,1548031619,1548374400,7,1
B2C,2101,2018-08-01 19:48:00+00:00,0,0.0,3,5,13,10.35,1,2018-07-31 23:45:12+00:00,2018-08-03 00:00:00+00:00,PACKAGE_THICK_ENVELOPE,MA,IA,3,1533152880,1533080712,1533254400,3,1
B2C,19862,2019-05-02 19:37:00+00:00,0,0.0,3,5,0,29.99,1,2019-05-01 22:41:21+00:00,2019-05-04 00:00:00+00:00,PACKAGE_THICK_ENVELOPE,OH,FL,3,1556825820,1556750481,1556928000,7,1
B2C,33489,2018-09-04 21:36:00+00:00,2,0.0,2,9,10,15.99,1,2018-08-31 22:09:36+00:00,2018-09-08 00:00:00+00:00,PACKAGE_THICK_ENVELOPE,NY,TX,5,1536096960,1535753376,1536364800,39,1
B2C,84752,2019-02-15 21:48:00+00:00,0,0.0,3,5,2,21.0,1,2019-02-15 13:35:57+00:00,2019-02-19 00:00:00+00:00,PACKAGE_THICK_ENVELOPE,TX,AZ,1,1550267280,1550237757,1550534400,8,1
B2C,206,2019-06-20 00:33:00+00:00,0,0.0,3,5,1,12.6,1,2019-06-19 00:58:56+00:00,2019-06-21 00:00:00+00:00,PACKAGE_THICK_ENVELOPE,PA,CA,3,1560990780,1560905936,1561075200,16,0
B2C,8524,2018-06-19 03:01:00+00:00,10,3.99,2,5,0,29.0,1,2018-06-15 22:13:23+00:00,2018-06-20 00:00:00+00:00,PACKAGE_THICK_ENVELOPE,TX,MD,3,1529377260,1529100803,1529452800,27,3
C2C,173719,2019-06-11 20:34:00+00:00,0,6.0,3,5,17,15.0,1,2019-06-10 13:41:33+00:00,2019-06-13 00:00:00+00:00,PACKAGE_THICK_ENVELOPE,ID,OK,3,1560285240,1560174093,1560384000,16,1
B2C,1083,2018-07-25 17:24:00+00:00,0,0.0,3,5,1,38.99,1,2018-07-24 12:30:02+00:00,2018-07-30 00:00:00+00:00,PACKAGE_THICK_ENVELOPE,OH,ID,4,1532539440,1532435402,1532908800,6,1
B2C,4749,2019-08-12 20:10:00+00:00,0,0.0,3,5,17,7.5,1,2019-08-12 11:20:42+00:00,2019-08-16 00:00:00+00:00,PACKAGE_THICK_ENVELOPE,IN,UT,4,1565640600,1565608842,1565913600,48,0
B2C,4749,2019-10-18 20:14:00+00:00,0,0.0,3,5,17,7.5,1,2019-10-17 19:14:18+00:00,2019-10-21 00:00:00+00:00,PACKAGE_THICK_ENVELOPE,MD,UT,2,1571429640,1571339658,1571616000,48,0
B2C,4749,2019-10-23 18:51:00+00:00,0,0.0,3,5,17,7.5,1,2019-10-22 19:19:46+00:00,2019-10-26 00:00:00+00:00,PACKAGE_THICK_ENVELOPE,CA,UT,4,1571856660,1571771986,1572048000,48,0
B2C,3137,2018-07-17 00:07:00+00:00,0,0.0,3,5,12,8.49,1,2018-07-16 02:00:23+00:00,2018-07-20 00:00:00+00:00,PACKAGE_THICK_ENVELOPE,TN,CA,4,1531786020,1531706423,1532044800,2,1
B2C,3137,2018-09-19 23:56:00+00:00,0,0.0,3,5,12,8.49,1,2018-09-19 03:25:25+00:00,2018-09-22 00:00:00+00:00,PACKAGE_THICK_ENVELOPE,MT,CA,4,1537401360,1537327525,1537574400,2,1
B2C,7482,2019-03-04 20:30:00+00:00,1,0.0,2,5,13,50.59,1,2019-03-04 20:08:20+00:00,2019-03-06 00:00:00+00:00,PACKAGE_THICK_ENVELOPE,CA,MI,2,1551731400,1551730100,1551830400,36,1
B2C,36271,2018-08-21 21:25:00+00:00,0,4.5,3,5,0,14.0,1,2018-08-18 19:26:19+00:00,2018-08-23 00:00:00+00:00,PACKAGE_THICK_ENVELOPE,NE,CA,3,1534886700,1534620379,1534982400,10,10
B2C,206,2018-04-03 23:44:00+00:00,0,0.0,3,5,12,7.44,1,2018-04-02 10:59:15+00:00,2018-04-06 00:00:00+00:00,PACKAGE_THICK_ENVELOPE,WA,CA,4,1522799040,1522666755,1522972800,6,1
C2C,191794,2018-02-12 21:38:00+00:00,0,3.99,3,5,9,12.99,1,2018-02-05 21:33:18+00:00,2018-02-14 00:00:00+00:00,NONE,MO,NC,7,1518471480,1517866398,1518566400,8,3
B2C,1288,2018-03-12 21:13:00+00:00,7,0.0,2,5,9,61.94,1,2018-03-10 13:35:56+00:00,2018-03-15 00:00:00+00:00,PACKAGE_THICK_ENVELOPE,IL,GA,3,1520889180,1520688956,1521072000,8,1
B2C,45854,2019-06-04 04:33:00+00:00,0,0.0,3,5,13,28.95,1,2019-06-01 16:08:22+00:00,2019-06-06 00:00:00+00:00,PACKAGE_THICK_ENVELOPE,TX,NC,3,1559622780,1559405302,1559779200,16,1
B2C,29882,2018-05-08 02:25:00+00:00,1,7.5,2,5,13,40.0,1,2018-05-06 23:08:45+00:00,2018-05-09 00:00:00+00:00,PACKAGE_THICK_ENVELOPE,KS,AL,2,1525746300,1525648125,1525824000,8,1
B2C,63314,2018-01-23 04:33:00+00:00,7,0.0,2,5,6,36.89,1,2018-01-20 23:23:02+00:00,2018-01-24 00:00:00+00:00,LETTER,CA,FL,2,1516681980,1516490582,1516752000,8,1
B2C,972,2018-03-04 03:07:00+00:00,0,2.95,3,5,0,5.95,1,2018-03-02 22:57:16+00:00,2018-03-05 00:00:00+00:00,PACKAGE_THICK_ENVELOPE,KY,TX,1,1520132820,1520031436,1520208000,8,1
B2C,972,2018-04-01 02:08:00+00:00,0,2.95,3,5,0,6.95,1,2018-03-30 21:27:43+00:00,2018-04-03 00:00:00+00:00,PACKAGE_THICK_ENVELOPE,VA,TX,2,1522548480,1522445263,1522713600,8,1
B2C,972,2018-10-26 22:07:00+00:00,0,2.95,3,5,0,6.95,1,2018-10-26 09:03:01+00:00,2018-10-29 00:00:00+00:00,PACKAGE_THICK_ENVELOPE,PA,TX,1,1540591620,1540544581,1540771200,8,1
B2C,14192,2018-10-30 21:01:00+00:00,0,4.5,3,5,10,7.95,1,2018-10-26 01:20:30+00:00,2018-11-01 00:00:00+00:00,PACKAGE_THICK_ENVELOPE,PA,CT,5,1540933260,1540516830,1541030400,5,1
B2C,48941,2018-01-27 23:28:00+00:00,2,8.15,2,9,11,14.99,2,2018-01-25 22:09:34+00:00,2018-01-29 00:00:00+00:00,PACKAGE_THICK_ENVELOPE,CA,CO,2,1517095680,1516918174,1517184000,15,1
B2C,1369,2018-01-19 17:20:00+00:00,0,0.0,3,5,5,5.8,1,2018-01-19 01:50:28+00:00,2018-01-26 00:00:00+00:00,PACKAGE_THICK_ENVELOPE,FL,FL,6,1516382400,1516326628,1516924800,3,1
B2C,657,2019-02-11 22:45:00+00:00,0,2.99,3,5,0,42.49,1,2019-02-09 22:01:17+00:00,2019-02-12 00:00:00+00:00,PACKAGE_THICK_ENVELOPE,UT,UT,1,1549925100,1549749677,1549929600,8,1
