b2c_c2c,seller_id,declared_handling_days,acceptance_scan_timestamp,shipment_method_id,shipping_fee,carrier_min_estimate,carrier_max_estimate,item_zip,buyer_zip,category_id,item_price,quantity,payment_datetime,delivery_date,weight,package_size,record_number,buyer_state,item_state,delivery_time_buss_days,acceptance_scan_timestamp seconds,payment_datetime seconds,delivery_date seconds,new_weight,new_declared_handling_days
B2C,206,1.0,2019-04-03 02:42:00+00:00,0,0.0,3,5,93309,20774,12,9.64,1,2019-03-31 13:58:25+00:00,2019-04-04 00:00:00+00:00,7,PACKAGE_THICK_ENVELOPE,11,MD,CA,3,1554259320,1554040705,1554336000,7,1
B2C,2101,1.0,2018-05-08 20:26:00+00:00,0,0.0,3,5,51031,28092,13,9.9,1,2018-05-07 16:40:27+00:00,2018-05-14 00:00:00+00:00,2,PACKAGE_THICK_ENVELOPE,12,NC,IA,5,1525811160,1525711227,1526256000,2,1
B2C,12924,1.0,2018-08-06 21:23:00+00:00,0,0.0,3,5,77035,45373,8,23.99,1,2018-08-06 18:04:18+00:00,2018-08-09 00:00:00+00:00,1,PACKAGE_THICK_ENVELOPE,13,OH,TX,3,1533590580,1533578658,1533772800,1,1
C2C,487782,2.0,2018-12-09 02:17:00+00:00,0,0.0,3,5,91789,27317,11,15.88,1,2018-12-03 02:31:17+00:00,2018-12-12 00:00:00+00:00,0,PACKAGE_THICK_ENVELOPE,14,NC,CA,7,1544321820,1543804277,1544572800,8,2
B2C,5815,0.0,2019-05-21 23:50:14+00:00,0,0.0,3,5,32605,33166,11,22.78,2,2019-05-20 22:23:31+00:00,2019-05-22 00:00:00+00:00,8,PACKAGE_THICK_ENVELOPE,15,FL,FL,2,1558482614,1558391011,1558483200,8,0
B2C,17757,0.0,2019-04-15 20:39:00+00:00,0,0.0,3,5,04268,65459,13,29.99,1,2019-04-14 23:04:18+00:00,2019-04-19 00:00:00+00:00,0,LETTER,16,MO,ME,4,1555360740,1555283058,1555632000,8,0
B2C,48312,1.0,2018-02-13 04:14:00+00:00,0,4.0,3,5,20743,95122,0,22.99,1,2018-02-11 00:37:32+00:00,2018-02-14 00:00:00+00:00,6,PACKAGE_THICK_ENVELOPE,17,CA,MD,2,1518495240,1518309452,1518566400,6,1
B2C,2077,1.0,2018-07-18 19:57:00+00:00,1,0.0,2,5,77471,55420,5,65.0,1,2018-07-17 18:42:15+00:00,2018-07-20 00:00:00+00:00,0,NONE,18,MN,TX,3,1531943820,1531852935,1532044800,8,1
B2C,1083,1.0,2018-12-18 01:17:00+00:00,5,0.0,2,5,83642,77488,1,129.99,1,2018-12-16 05:00:07+00:00,2018-12-20 00:00:00+00:00,6,PACKAGE_THICK_ENVELOPE,19,TX,ID,3,1545095820,1544936407,1545264000,6,1
B2C,55903,2.0,2019-09-25 19:20:00+00:00,2,0.0,2,9,08215,15522,1,195.99,1,2019-09-25 14:52:54+00:00,2019-09-27 00:00:00+00:00,0,PACKAGE_THICK_ENVELOPE,20,PA,NJ,2,1569439200,1569423174,1569542400,8,2
C2C,166588,1.0,2018-03-27 04:03:00+00:00,0,0.0,3,5,95928,95973,10,1.29,1,2018-03-24 22:59:16+00:00,2018-03-27 00:00:00+00:00,0,PACKAGE_THICK_ENVELOPE,21,CA,CA,1,1522123380,1521932356,1522108800,8,1
B2C,70189,3.0,2018-08-29 19:35:00+00:00,0,0.0,3,5,32119,83221,8,16.49,1,2018-08-27 05:00:48+00:00,2018-09-01 00:00:00+00:00,0,PACKAGE_THICK_ENVELOPE,22,ID,FL,5,1535571300,1535346048,1535760000,8,3
B2C,10798,0.0,2018-05-08 21:03:00+00:00,0,0.0,3,5,92532,12508,8,7.29,1,2018-05-07 23:15:10+00:00,2018-05-11 00:00:00+00:00,0,PACKAGE_THICK_ENVELOPE,23,NY,CA,4,1525813380,1525734910,1525996800,8,0
B2C,16000,3.0,2018-04-09 22:57:00+00:00,6,0.0,2,5,97240,80107,10,19.96,1,2018-04-06 00:08:25+00:00,2018-04-12 00:00:00+00:00,19,PACKAGE_THICK_ENVELOPE,24,CO,OR,5,1523314620,1522973305,1523491200,19,3
B2C,16000,3.0,2018-04-15 01:14:00+00:00,6,2.75,2,5,97240,67147,10,19.96,1,2018-04-12 16:06:20+00:00,2018-04-16 00:00:00+00:00,19,PACKAGE_THICK_ENVELOPE,25,KS,OR,2,1523754840,1523549180,1523836800,19,3
B2C,42220,1.0,2018-08-25 00:52:00+00:00,0,0.0,3,5,91732,76691,23,3.99,1,2018-08-24 05:21:22+00:00,2018-08-27 00:00:00+00:00,3,PACKAGE_THICK_ENVELOPE,26,TX,CA,2,1535158320,1535088082,1535328000,3,1
B2C,42220,1.0,2019-04-08 23:01:00+00:00,0,0.0,3,5,91732,34956,23,4.29,1,2019-04-08 13:09:20+00:00,2019-04-10 00:00:00+00:00,3,PACKAGE_THICK_ENVELOPE,27,FL,CA,2,1554764460,1554728960,1554854400,3,1
B2C,11968,1.0,2018-10-10 07:25:00+00:00,0,0.0,3,5,90210,91436,8,4.9,1,2018-10-05 21:13:34+00:00,2018-10-11 00:00:00+00:00,0,PACKAGE_THICK_ENVELOPE,28,CA,CA,3,1539156300,1538774014,1539216000,8,1
B2C,18048,1.0,2018-06-23 16:02:00+00:00,0,1.42,3,5,54944,29401,23,41.5,1,2018-06-22 17:39:41+00:00,2018-06-25 00:00:00+00:00,6,PACKAGE_THICK_ENVELOPE,29,SC,WI,1,1529769720,1529689181,1529884800,6,1
B2C,9034,1.0,2018-05-21 18:11:00+00:00,0,0.0,3,5,19363,53508,13,21.99,1,2018-05-21 03:14:01+00:00,2018-05-24 00:00:00+00:00,8,PACKAGE_THICK_ENVELOPE,30,WI,PA,3,1526926260,1526872441,1527120000,8,1
B2C,21778,3.0,2019-01-07 14:22:00+00:00,0,0.0,3,5,34429,30277,9,9.99,1,2019-01-04 19:49:39+00:00,2019-01-11 00:00:00+00:00,4,PACKAGE_THICK_ENVELOPE,31,GA,FL,5,1546870920,1546631379,1547164800,4,3
B2C,31601,1.0,2018-06-11 20:17:00+00:00,0,4.95,3,5,54558,04945,1,24.99,1,2018-06-10 20:41:47+00:00,2018-06-14 00:00:00+00:00,16,PACKAGE_THICK_ENVELOPE,32,ME,WI,3,1528748220,1528663307,1528934400,16,1
B2C,267045,1.0,2019-10-17 07:43:00+00:00,0,0.0,3,5,14304,42134,7,6.99,1,2019-10-14 03:49:02+00:00,2019-10-19 00:00:00+00:00,0,PACKAGE_THICK_ENVELOPE,33,KY,NY,4,1571298180,1571024942,1571443200,8,1
B2C,4414,1.0,2018-05-14 21:02:00+00:00,1,0.0,2,5,77093,32712,10,169.96,1,2018-05-13 18:58:59+00:00,2018-05-16 00:00:00+00:00,15,PACKAGE_THICK_ENVELOPE,34,FL,TX,2,1526331720,1526237939,1526428800,15,1
B2C,2101,1.0,2019-01-03 19:20:00+00:00,0,3.5,3,5,51031,62656,13,21.2,1,2019-01-02 18:25:07+00:00,2019-01-05 00:00:00+00:00,3,PACKAGE_THICK_ENVELOPE,35,IL,IA,3,1546543200,1546453507,1546646400,3,1
B2C,2101,1.0,2019-10-16 03:35:00+00:00,0,0.0,3,5,51031,45356,13,8.53,1,2019-10-14 22:37:53+00:00,2019-10-19 00:00:00+00:00,4,PACKAGE_THICK_ENVELOPE,36,OH,IA,4,1571196900,1571092673,1571443200,4,1
B2C,7097,1.0,2019-05-29 21:02:00+00:00,0,0.0,3,5,28806,75482,10,9.85,1,2019-05-28 19:14:29+00:00,2019-06-01 00:00:00+00:00,2,PACKAGE_THICK_ENVELOPE,37,TX,NC,4,1559163720,1559070869,1559347200,2,1
C2C,608594,1.0,2018-03-17 17:47:00+00:00,2,7.85,2,9,07452,90005,26,19.99,1,2018-03-16 19:43:20+00:00,2018-03-19 00:00:00+00:00,0,NONE,38,CA,NJ,1,1521308820,1521229400,1521417600,8,1
B2C,36271,10.0,2019-07-06 20:21:00+00:00,0,5.66,3,5,92585,33138,0,14.0,1,2019-07-03 19:56:52+00:00,2019-07-12 00:00:00+00:00,10,PACKAGE_THICK_ENVELOPE,39,FL,CA,6,1562444460,1562183812,1562889600,10,10
B2C,2101,1.0,2019-03-29 19:29:00+00:00,0,0.0,3,5,51031,20882,13,9.58,1,2019-03-28 18:29:35+00:00,2019-04-01 00:00:00+00:00,5,PACKAGE_THICK_ENVELOPE,40,MD,IA,2,1553887740,1553797775,1554076800,5,1
B2C,171,1.0,2018-07-19 20:15:00+00:00,1,2.69,2,5,28642,90037,10,3.99,1,2018-07-19 01:46:30+00:00,2018-07-21 00:00:00+00:00,0,PACKAGE_THICK_ENVELOPE,41,CA,NC,3,1532031300,1531964790,1532131200,8,1
B2C,362647,2.0,2019-05-15 19:01:00+00:00,0,0.0,3,5,77057,22801,3,34.99,2,2019-05-14 03:36:25+00:00,2019-05-20 00:00:00+00:00,32,LARGE_PACKAGE,42,VA,TX,5,1557946860,1557804985,1558310400,32,2
B2C,42037,1.0,2018-09-25 19:17:00+00:00,2,9.85,2,9,56071,76110,1,88.0,1,2018-09-25 16:50:13+00:00,2018-09-27 00:00:00+00:00,48,PACKAGE_THICK_ENVELOPE,43,TX,MN,2,1537903020,1537894213,1538006400,48,1
B2C,5793,0.0,2019-03-08 21:44:00+00:00,0,0.0,3,5,46225,29575,17,13.25,1,2019-03-07 22:01:14+00:00,2019-03-11 00:00:00+00:00,5,PACKAGE_THICK_ENVELOPE,44,SC,IN,2,1552081440,1551996074,1552262400,5,0
B2C,93702,1.0,2018-11-07 20:25:00+00:00,0,0.0,3,5,33009,41102,1,18.95,2,2018-11-07 04:12:58+00:00,2018-11-10 00:00:00+00:00,0,PACKAGE_THICK_ENVELOPE,45,KY,FL,4,1541622300,1541563978,1541808000,8,1
B2C,43279,1.0,2018-04-06 15:30:00+00:00,1,0.0,2,5,12932,79703,6,19.98,2,2018-04-05 18:09:30+00:00,2018-04-09 00:00:00+00:00,0,PACKAGE_THICK_ENVELOPE,46,TX,NY,2,1523028600,1522951770,1523232000,8,1
B2C,29882,1.0,2018-09-24 22:33:13+00:00,1,35.0,2,5,35213,29920,13,395.0,1,2018-09-24 17:10:48+00:00,2018-09-26 00:00:00+00:00,560,PACKAGE_THICK_ENVELOPE,47,SC,AL,2,1537828393,1537809048,1537920000,560,1
B2C,1301,1.0,2019-01-23 06:45:00+00:00,0,0.0,3,5,92705,13439,11,13.5,1,2019-01-22 14:20:01+00:00,2019-01-26 00:00:00+00:00,0,PACKAGE_THICK_ENVELOPE,48,NY,CA,4,1548225900,1548166801,1548460800,8,1
B2C,290,1.0,2018-05-12 22:21:00+00:00,0,2.61,3,5,60585,01472,10,3.39,1,2018-05-10 16:47:55+00:00,2018-05-15 00:00:00+00:00,3,PACKAGE_THICK_ENVELOPE,49,MA,IL,3,1526163660,1525970875,1526342400,3,1
B2C,10357,1.0,2019-02-08 04:23:00+00:00,0,0.0,3,5,91745,33713,6,2.84,1,2019-02-07 19:31:41+00:00,2019-02-09 00:00:00+00:00,2,PACKAGE_THICK_ENVELOPE,50,FL,CA,2,1549599780,1549567901,1549670400,2,1
B2C,10934,1.0,2019-07-02 21:58:00+00:00,0,4.39,3,5,07105,76537,10,15.99,1,2019-07-02 00:59:51+00:00,2019-07-05 00:00:00+00:00,3,PACKAGE_THICK_ENVELOPE,51,TX,NJ,3,1562104680,1562029191,1562284800,3,1
C2C,267600,10.0,2019-04-08 23:34:00+00:00,0,0.0,3,5,92372,18704,27,5.95,2,2019-03-26 00:37:01+00:00,2019-04-15 00:00:00+00:00,0,PACKAGE_THICK_ENVELOPE,52,PA,CA,15,1554766440,1553560621,1555286400,8,10
B2C,55420,1.0,2019-02-14 23:26:00+00:00,0,5.49,3,5,333083517,85297,1,11.95,1,2019-02-13 02:40:21+00:00,2019-02-19 00:00:00+00:00,5,LETTER,53,AZ,-1,4,1550186760,1550025621,1550534400,5,1
B2C,31206,1.0,2019-04-23 19:04:00+00:00,1,10.4,2,5,32867,43528,1,40.0,1,2019-04-22 02:29:06+00:00,2019-04-26 00:00:00+00:00,32,PACKAGE_THICK_ENVELOPE,54,OH,FL,4,1556046240,1555900146,1556236800,32,1
B2C,3368,1.0,2019-04-02 07:00:00+00:00,0,0.0,3,5,91745,49420,5,9.95,1,2019-04-02 01:50:25+00:00,2019-04-04 00:00:00+00:00,3,PACKAGE_THICK_ENVELOPE,55,MI,CA,3,1554188400,1554169825,1554336000,3,1
C2C,856471,3.0,2018-07-09 20:27:00+00:00,0,3.95,3,5,55352,95815,17,6.0,1,2018-07-07 20:39:23+00:00,2018-07-12 00:00:00+00:00,16,PACKAGE_THICK_ENVELOPE,56,CA,MN,3,1531168020,1530995963,1531353600,16,3
B2C,66217,2.0,2018-04-20 17:22:00+00:00,2,0.0,2,9,97415,12158,1,24.99,1,2018-04-18 23:05:11+00:00,2018-04-23 00:00:00+00:00,16,PACKAGE_THICK_ENVELOPE,57,NY,OR,3,1524244920,1524092711,1524441600,16,2
C2C,304592,1.0,2018-04-03 18:27:00+00:00,1,14.95,2,5,14072,35215,3,68.99,1,2018-03-17 02:09:41+00:00,2018-04-05 00:00:00+00:00,0,PACKAGE_THICK_ENVELOPE,58,AL,NY,14,1522780020,1521252581,1522886400,8,1
B2C,19120,3.0,2018-05-10 20:08:00+00:00,0,0.0,3,5,49601,48040,6,9.99,1,2018-05-07 20:50:03+00:00,2018-05-12 00:00:00+00:00,6,PACKAGE_THICK_ENVELOPE,59,MI,MI,5,1525982880,1525726203,1526083200,6,3
B2C,14753,1.0,2019-06-24 18:03:00+00:00,0,0.0,3,5,01832,07936,7,27.0,1,2019-06-21 13:27:04+00:00,2019-06-26 00:00:00+00:00,0,LETTER,60,NJ,MA,3,1561399380,1561123624,1561507200,8,1
B2C,1301,1.0,2018-05-10 02:41:00+00:00,0,0.0,3,5,92705,91770,11,13.95,1,2018-05-09 04:44:43+00:00,2018-05-10 00:00:00+00:00,0,PACKAGE_THICK_ENVELOPE,61,CA,CA,2,1525920060,1525841083,1525910400,8,1
B2C,1301,1.0,2018-08-10 03:08:00+00:00,0,0.0,3,5,92705,48616,11,13.95,1,2018-08-08 21:49:38+00:00,2018-08-13 00:00:00+00:00,0,PACKAGE_THICK_ENVELOPE,62,MI,CA,3,1533870480,1533764978,1534118400,8,1
B2C,102689,2.0,2018-01-15 21:24:00+00:00,0,0.0,3,5,48098,54981,9,6.49,2,2018-01-14 15:29:50+00:00,2018-01-17 00:00:00+00:00,6,PACKAGE_THICK_ENVELOPE,63,WI,MI,1,1516051440,1515943790,1516147200,6,2
B2C,66570,1.0,2018-02-24 03:10:00+00:00,1,0.0,2,5,91789,33166,1,15.91,1,2018-02-23 21:14:04+00:00,2018-02-26 00:00:00+00:00,64,PACKAGE_THICK_ENVELOPE,64,FL,CA,1,1519441800,1519420444,1519603200,64,1
B2C,9450,1.0,2019-01-05 00:57:00+00:00,1,0.0,2,5,92867,42210,1,24.99,1,2019-01-02 20:43:44+00:00,2019-01-07 00:00:00+00:00,0,PACKAGE_THICK_ENVELOPE,65,KY,CA,3,1546649820,1546461824,1546819200,8,1
B2C,1313,0.0,2018-03-05 21:47:00+00:00,0,3.51,3,5,19111,48730,23,2.49,1,2018-03-03 19:22:47+00:00,2018-03-07 00:00:00+00:00,1,PACKAGE_THICK_ENVELOPE,66,MI,PA,2,1520286420,1520104967,1520380800,1,0
B2C,32257,0.0,2018-05-07 16:26:00+00:00,0,4.8,3,5,90503,59404,1,26.99,1,2018-05-04 20:02:24+00:00,2018-05-10 00:00:00+00:00,3,PACKAGE_THICK_ENVELOPE,67,MT,CA,4,1525710360,1525464144,1525910400,3,0
B2C,3961,1.0,2018-08-09 21:28:00+00:00,1,10.0,2,5,49507,75158,1,24.99,1,2018-08-08 23:22:18+00:00,2018-08-11 00:00:00+00:00,32,PACKAGE_THICK_ENVELOPE,68,TX,MI,3,1533850080,1533770538,1533945600,32,1
B2C,6151,1.0,2018-04-02 18:19:00+00:00,0,0.0,3,5,60007,11706,9,7.4,3,2018-04-01 02:38:46+00:00,2018-04-05 00:00:00+00:00,12,PACKAGE_THICK_ENVELOPE,69,NY,IL,3,1522693140,1522550326,1522886400,12,1
B2C,290,1.0,2019-09-12 14:07:00+00:00,0,4.53,3,5,60585,78734,10,29.25,1,2019-09-09 22:28:35+00:00,2019-09-16 00:00:00+00:00,6,PACKAGE_THICK_ENVELOPE,70,TX,IL,5,1568297220,1568068115,1568592000,6,1
B2C,5726,1.0,2019-02-07 20:56:00+00:00,1,0.0,2,5,12863,06492,1,31.88,1,2019-02-07 02:43:46+00:00,2019-02-08 00:00:00+00:00,0,PACKAGE_THICK_ENVELOPE,71,CT,NY,2,1549572960,1549507426,1549584000,8,1
B2C,11890,0.0,2019-06-05 00:11:00+00:00,0,0.0,3,5,97224,84025,17,1.7,1,2019-06-04 17:19:11+00:00,2019-06-07 00:00:00+00:00,2,PACKAGE_THICK_ENVELOPE,72,UT,OR,3,1559693460,1559668751,1559865600,2,0
C2C,86755,5.0,2018-09-26 20:34:00+00:00,0,2.75,3,5,06424,82941,17,3.99,1,2018-09-10 19:26:40+00:00,2018-09-29 00:00:00+00:00,0,NONE,73,WY,CT,15,1537994040,1536607600,1538179200,8,5
B2C,188616,1.0,2018-12-24 22:07:00+00:00,8,6.0,2,5,55433,49660,1,65.0,1,2018-12-23 18:15:31+00:00,2018-12-27 00:00:00+00:00,0,PACKAGE_THICK_ENVELOPE,74,MI,MN,2,1545689220,1545588931,1545868800,8,1
B2C,21902,1.0,2019-09-16 15:06:00+00:00,0,0.0,3,5,49461,30566,11,18.99,1,2019-09-15 00:05:07+00:00,2019-09-19 00:00:00+00:00,6,PACKAGE_THICK_ENVELOPE,75,GA,MI,3,1568646360,1568505907,1568851200,6,1
B2C,187,1.0,2018-02-13 23:16:00+00:00,0,0.6,3,5,32561,94536,10,2.68,1,2018-02-13 05:11:37+00:00,2018-02-15 00:00:00+00:00,1,PACKAGE_THICK_ENVELOPE,76,CA,FL,3,1518563760,1518498697,1518652800,1,1
B2C,8902,1.0,2019-09-19 17:24:00+00:00,0,0.0,3,5,28018,76230,1,32.94,1,2019-09-19 05:41:53+00:00,2019-09-21 00:00:00+00:00,7,PACKAGE_THICK_ENVELOPE,77,TX,NC,2,1568913840,1568871713,1569024000,7,1
B2C,2442,1.0,2018-11-21 22:47:00+00:00,0,0.0,3,5,63084,74401,24,7.77,1,2018-11-21 06:57:45+00:00,2018-11-23 00:00:00+00:00,0,PACKAGE_THICK_ENVELOPE,78,OK,MO,1,1542840420,1542783465,1542931200,8,1
B2C,1288,2.0,2019-02-28 22:50:00+00:00,5,0.0,2,5,31525,73069,9,21.12,1,2019-02-27 00:56:21+00:00,2019-03-02 00:00:00+00:00,0,PACKAGE_THICK_ENVELOPE,79,OK,GA,4,1551394200,1551228981,1551484800,8,2
B2C,187,1.0,2019-09-17 17:03:00+00:00,0,0.0,3,5,32561,60178,13,3.97,1,2019-09-16 20:47:58+00:00,2019-09-20 00:00:00+00:00,1,PACKAGE_THICK_ENVELOPE,80,IL,FL,4,1568739780,1568666878,1568937600,1,1
B2C,17124,1.0,2018-01-03 19:11:00+00:00,0,4.35,3,5,12047,34433,9,3.63,2,2018-01-02 23:24:59+00:00,2018-01-08 00:00:00+00:00,7,PACKAGE_THICK_ENVELOPE,81,FL,NY,4,1515006660,1514935499,1515369600,7,1
B2C,21778,1.0,2018-06-25 20:10:00+00:00,0,0.0,3,5,34429,34983,1,8.79,1,2018-06-24 23:46:54+00:00,2018-06-27 00:00:00+00:00,4,PACKAGE_THICK_ENVELOPE,82,FL,FL,2,1529957400,1529884014,1530057600,4,1
B2C,19862,1.0,2018-03-21 19:09:00+00:00,0,0.0,3,5,33412,70602,0,2.55,1,2018-03-20 15:22:27+00:00,2018-03-26 00:00:00+00:00,1,PACKAGE_THICK_ENVELOPE,83,LA,FL,4,1521659340,1521559347,1522022400,1,1
B2C,692,0.0,2018-07-05 16:38:00+00:00,0,0.0,3,5,01863,90631,4,5.99,1,2018-07-05 06:14:32+00:00,2018-07-09 00:00:00+00:00,0,PACKAGE_THICK_ENVELOPE,84,CA,MA,2,1530808680,1530771272,1531094400,8,0
B2C,41154,1.0,2019-01-23 21:50:00+00:00,0,0.0,3,5,39705,75215,9,6.99,1,2019-01-21 00:46:59+00:00,2019-01-25 00:00:00+00:00,7,PACKAGE_THICK_ENVELOPE,85,TX,MS,3,1548280200,1548031619,1548374400,7,1
B2C,2101,1.0,2018-08-01 19:48:00+00:00,0,0.0,3,5,51031,01430,13,10.35,1,2018-07-31 23:45:12+00:00,2018-08-03 00:00:00+00:00,3,PACKAGE_THICK_ENVELOPE,86,MA,IA,3,1533152880,1533080712,1533254400,3,1
B2C,19862,1.0,2019-05-02 19:37:00+00:00,0,0.0,3,5,33412,44720,0,29.99,1,2019-05-01 22:41:21+00:00,2019-05-04 00:00:00+00:00,7,PACKAGE_THICK_ENVELOPE,87,OH,FL,3,1556825820,1556750481,1556928000,7,1
B2C,33489,1.0,2018-09-04 21:36:00+00:00,2,0.0,2,9,75103,14620,10,15.99,1,2018-08-31 22:09:36+00:00,2018-09-08 00:00:00+00:00,39,PACKAGE_THICK_ENVELOPE,88,NY,TX,5,1536096960,1535753376,1536364800,39,1
B2C,84752,1.0,2019-02-15 21:48:00+00:00,0,0.0,3,5,85350,76106,2,21.0,1,2019-02-15 13:35:57+00:00,2019-02-19 00:00:00+00:00,0,PACKAGE_THICK_ENVELOPE,89,TX,AZ,1,1550267280,1550237757,1550534400,8,1
B2C,206,0.0,2019-06-20 00:33:00+00:00,0,0.0,3,5,93308,19153,1,12.6,1,2019-06-19 00:58:56+00:00,2019-06-21 00:00:00+00:00,16,PACKAGE_THICK_ENVELOPE,90,PA,CA,3,1560990780,1560905936,1561075200,16,0
B2C,8524,3.0,2018-06-19 03:01:00+00:00,10,3.99,2,5,21842,75751,0,29.0,1,2018-06-15 22:13:23+00:00,2018-06-20 00:00:00+00:00,27,PACKAGE_THICK_ENVELOPE,91,TX,MD,3,1529377260,1529100803,1529452800,27,3
C2C,173719,1.0,2019-06-11 20:34:00+00:00,0,6.0,3,5,74044,83805,17,15.0,1,2019-06-10 13:41:33+00:00,2019-06-13 00:00:00+00:00,16,PACKAGE_THICK_ENVELOPE,92,ID,OK,3,1560285240,1560174093,1560384000,16,1
B2C,1083,1.0,2018-07-25 17:24:00+00:00,0,0.0,3,5,83642,45036,1,38.99,1,2018-07-24 12:30:02+00:00,2018-07-30 00:00:00+00:00,6,PACKAGE_THICK_ENVELOPE,93,OH,ID,4,1532539440,1532435402,1532908800,6,1
B2C,4749,0.0,2019-08-12 20:10:00+00:00,0,0.0,3,5,84093,46614,17,7.5,1,2019-08-12 11:20:42+00:00,2019-08-16 00:00:00+00:00,48,PACKAGE_THICK_ENVELOPE,94,IN,UT,4,1565640600,1565608842,1565913600,48,0
B2C,4749,0.0,2019-10-18 20:14:00+00:00,0,0.0,3,5,84093,21224,17,7.5,1,2019-10-17 19:14:18+00:00,2019-10-21 00:00:00+00:00,48,PACKAGE_THICK_ENVELOPE,95,MD,UT,2,1571429640,1571339658,1571616000,48,0
B2C,4749,0.0,2019-10-23 18:51:00+00:00,0,0.0,3,5,84093,92154,17,7.5,1,2019-10-22 19:19:46+00:00,2019-10-26 00:00:00+00:00,48,PACKAGE_THICK_ENVELOPE,96,CA,UT,4,1571856660,1571771986,1572048000,48,0
B2C,3137,1.0,2018-07-17 00:07:00+00:00,0,0.0,3,5,92807,38242,12,8.49,1,2018-07-16 02:00:23+00:00,2018-07-20 00:00:00+00:00,2,PACKAGE_THICK_ENVELOPE,97,TN,CA,4,1531786020,1531706423,1532044800,2,1
B2C,3137,1.0,2018-09-19 23:56:00+00:00,0,0.0,3,5,92807,59901,12,8.49,1,2018-09-19 03:25:25+00:00,2018-09-22 00:00:00+00:00,2,PACKAGE_THICK_ENVELOPE,98,MT,CA,4,1537401360,1537327525,1537574400,2,1
B2C,7482,1.0,2019-03-04 20:30:00+00:00,1,0.0,2,5,49548,94507,13,50.59,1,2019-03-04 20:08:20+00:00,2019-03-06 00:00:00+00:00,36,PACKAGE_THICK_ENVELOPE,99,CA,MI,2,1551731400,1551730100,1551830400,36,1
B2C,36271,10.0,2018-08-21 21:25:00+00:00,0,4.5,3,5,92585,68106,0,14.0,1,2018-08-18 19:26:19+00:00,2018-08-23 00:00:00+00:00,10,PACKAGE_THICK_ENVELOPE,100,NE,CA,3,1534886700,1534620379,1534982400,10,10
B2C,206,1.0,2018-04-03 23:44:00+00:00,0,0.0,3,5,93312,98273,12,7.44,1,2018-04-02 10:59:15+00:00,2018-04-06 00:00:00+00:00,6,PACKAGE_THICK_ENVELOPE,101,WA,CA,4,1522799040,1522666755,1522972800,6,1
